run,scenario_type,scenario,split,context,model,RMSE,MAE,R2,Stability
0,baselines,full,within_sample,within_sample,Ridge,7.610811821310679,5.862181601787832,0.04032800057931085,0.00024685726849807003
0,baselines,full,within_sample,within_sample,RandomForest,7.141293278080805,5.471654639939398,0.15508193965132588,0.028875529203136675
0,baselines,full,within_sample,within_sample,XGBoost,7.430083079708291,5.558425126794267,0.08536420239406894,0.028490342139142782
0,baselines,full,within_sample,within_sample,MLP,8.933510842728456,6.513848973225452,-0.32222447851192726,0.0005147118183527878
0,baselines,full,region_holdout,east_asia_n_pacific,Ridge,8.262882045589885,6.6429762837069,-0.20328268842226116,-8.347272980545849e-05
0,baselines,full,region_holdout,east_asia_n_pacific,RandomForest,8.127518979222318,6.420204761904759,-0.16418110669609454,0.0710259304941841
0,baselines,full,region_holdout,east_asia_n_pacific,XGBoost,7.688871535975881,5.846097731817335,-0.04190895804858452,0.031058208545523814
0,baselines,full,region_holdout,east_asia_n_pacific,MLP,9.52364388672574,7.603968759194168,-0.5984934372677388,7.086820931658495e-05
0,baselines,full,region_holdout,europe_n_central_asia,Ridge,7.156981212593334,5.846339346077507,0.10742043909531529,-6.420011981638569e-06
0,baselines,full,region_holdout,europe_n_central_asia,RandomForest,5.987061095496205,4.695907470767033,0.3753819023005649,0.07451817224910444
0,baselines,full,region_holdout,europe_n_central_asia,XGBoost,5.976578689650195,4.587124616215738,0.3775672043948245,0.1279248790494052
0,baselines,full,region_holdout,europe_n_central_asia,MLP,9.23864770685358,6.819856194505563,-0.48731855755581344,-0.0007856133548621091
0,baselines,full,region_holdout,latin_america_n_caribbean,Ridge,6.6688736671741085,5.372236810484087,0.07042644968471479,-5.174977015319584e-05
0,baselines,full,region_holdout,latin_america_n_caribbean,RandomForest,5.740403744221016,4.262038095238095,0.3112467592463829,0.02110760882246306
0,baselines,full,region_holdout,latin_america_n_caribbean,XGBoost,5.867163629687474,4.289409592038108,0.2804927437765631,0.045458093242321945
0,baselines,full,region_holdout,latin_america_n_caribbean,MLP,15.041645139647692,9.439357394697778,-3.7290015302361974,-4.8751344664104204e-05
0,baselines,full,region_holdout,north_america,Ridge,7.421927096575092,5.762170888628434,-0.024117523840153865,0.00010080531782376829
0,baselines,full,region_holdout,north_america,RandomForest,6.57372084418897,4.803204385964911,0.19658683380807196,0.2193375003903156
0,baselines,full,region_holdout,north_america,XGBoost,6.816811145434208,5.143265007420591,0.13606920649748466,0.14908225164936856
