run,scenario_type,scenario,split,context,model,RMSE,MAE,R2,Stability
0,baselines,full,within_sample,within_sample,Ridge,36.0512602912166,13.176643847876823,-20.532862064127716,-0.0008861426473799584
0,baselines,full,within_sample,within_sample,RandomForest,6.853873723434217,5.183023578248235,0.2217250491557935,0.04207997610952853
0,baselines,full,within_sample,within_sample,XGBoost,6.959849605847165,5.22869691927139,0.19747131292215991,0.03271419166989159
0,baselines,full,within_sample,within_sample,MLP,199588297.4010287,32125020.8708891,-659980345354952.5,0.0006127108451470272
0,baselines,full,region_holdout,east_asia_n_pacific,Ridge,122.13587319355672,67.28333908984081,-261.9002781710981,0.0009680665296264435
0,baselines,full,region_holdout,east_asia_n_pacific,RandomForest,8.878997572989354,7.331653174603177,-0.3894164513320506,0.045591956270692006
0,baselines,full,region_holdout,east_asia_n_pacific,XGBoost,8.221527127783705,6.583588560800702,-0.1912682047863834,0.04860584111860221
0,baselines,full,region_holdout,east_asia_n_pacific,MLP,15440442378.870234,1993591764.8343265,-4.201690321093975e+18,1.3531214328879648e-05
0,baselines,full,region_holdout,europe_n_central_asia,Ridge,7.365533264388634,5.84395334398016,0.05464358876412334,-0.0002644328391757045
0,baselines,full,region_holdout,europe_n_central_asia,RandomForest,6.03804913110342,4.663826665292027,0.36469764028760754,0.07304011151504426
0,baselines,full,region_holdout,europe_n_central_asia,XGBoost,6.026055765364028,4.67304857489768,0.36721893356508184,0.08210461895034318
0,baselines,full,region_holdout,europe_n_central_asia,MLP,37708827.14579473,8685378.09600531,-24778398486447.08,0.0037589396768099555
0,baselines,full,region_holdout,latin_america_n_caribbean,Ridge,7.531877772921841,6.097652641751738,-0.18572862555198966,5.287849320035859e-05
0,baselines,full,region_holdout,latin_america_n_caribbean,RandomForest,5.600445216499536,4.2023751727662475,0.34442273531241785,0.02356093616836665
0,baselines,full,region_holdout,latin_america_n_caribbean,XGBoost,6.154832977660113,4.520234180632092,0.20820761362725082,0.04668857584035381
0,baselines,full,region_holdout,latin_america_n_caribbean,MLP,496218233.28987706,106533065.26726827,-5146645007216087.0,0.00015858479237302104
0,baselines,full,region_holdout,north_america,Ridge,222.47318633234818,29.576015858077955,-919.1778590450049,0.00022324534940464753
0,baselines,full,region_holdout,north_america,RandomForest,6.40712743705692,4.736943323414868,0.23679157896747738,0.18634246883543987
0,baselines,full,region_holdout,north_america,XGBoost,6.475880963819288,4.767185196458248,0.2203240399985833,0.17072934480283136
0,baselines,full,region_holdout,north_america,MLP,153553154.63861698,23926798.17835922,-438363025398348.4,0.00020536983779251595
0,baselines,full,region_holdout,south_asia,Ridge,9.71460573086878,7.738018670729056,-0.3927493310764325,0.0003241215081980902
0,baselines,full,region_holdout,south_asia,RandomForest,9.00475928323683,7.251334226044224,-0.196649090756692,0.0006089416667652324
0,baselines,full,region_holdout,south_asia,XGBoost,8.499158295274274,6.6723084176553265,-0.06604229543068563,0.011740851684771519
0,baselines,full,region_holdout,south_asia,MLP,247245196.6598082,70531982.6811254,-902149112160818.5,-0.00015725246241430805
0,baselines,full,region_holdout,sub_saharan_africa,Ridge,13.178999669910704,9.421848075749091,-0.8968509349619904,-0.00048232475431851706
0,baselines,full,region_holdout,sub_saharan_africa,RandomForest,9.406891743803685,7.595759595141698,0.0335918118181352,-0.0010201833337786833
0,baselines,full,region_holdout,sub_saharan_africa,XGBoost,9.69501461447894,7.986260143079256,-0.026514870025737824,0.0026151744520015547
0,baselines,full,region_holdout,sub_saharan_africa,MLP,73558859.96537055,35888807.19373391,-59093306125167.836,0.0001748695966134972
0,baselines,full,size_holdout,Large-Cap,Ridge,170.6071435291432,35.44266565602312,-424.8451015105301,-0.0003278017681506552
0,baselines,full,size_holdout,Large-Cap,RandomForest,6.896406142728912,5.228817840967196,0.3041704106880938,0.10249169773343285
0,baselines,full,size_holdout,Large-Cap,XGBoost,6.714395440906381,4.847684613118129,0.3404145557429823,0.12156636188314489
0,baselines,full,size_holdout,Large-Cap,MLP,34284397897.093933,3508253685.88229,-1.7196904765387938e+19,-0.0003424042301655529
0,baselines,full,size_holdout,Mid-Cap,Ridge,136.59800591254188,25.491983227257634,-315.84176847979444,0.00030733487780674226
0,baselines,full,size_holdout,Mid-Cap,RandomForest,6.466161688737193,5.131902557352876,0.2900188310394639,0.16019727770495268
0,baselines,full,size_holdout,Mid-Cap,XGBoost,6.372971727127291,5.096997543334962,0.3103357830300937,0.16453601263979928
0,baselines,full,size_holdout,Mid-Cap,MLP,2216075348.942233,353205267.6666611,-8.339168617163547e+16,0.0004729830335153902
0,baselines,full,size_holdout,Small-Cap,Ridge,11.42028072487529,8.230023830072199,-1.1266878626998826,0.0013438204710303297
0,baselines,full,size_holdout,Small-Cap,RandomForest,7.117267910439413,5.018607352941178,0.1740061355132041,0.015077173946147857
0,baselines,full,size_holdout,Small-Cap,XGBoost,7.263211609345986,5.116718659120447,0.13978385786271075,0.02821137885364753
0,baselines,full,size_holdout,Small-Cap,MLP,92360450.91141929,19374138.834067892,-139098447385867.38,0.0006973977930253015
0,baselines,constrained,within_sample,within_sample,Ridge,8.223010494210538,6.104881201016117,-0.45917413839041243,0.0017960119271243336
0,baselines,constrained,within_sample,within_sample,RandomForest,5.479143593453103,4.148748703320153,0.3521554652876091,0.009487158138947457
0,baselines,constrained,within_sample,within_sample,XGBoost,5.944125802088803,4.023228491421404,0.23753235474835865,0.04723746603681109
0,baselines,constrained,within_sample,within_sample,MLP,123178838.17767464,38445274.471438475,-327429377065354.9,0.009638337717858741
0,baselines,constrained,region_holdout,europe_n_central_asia,Ridge,19.128269451282183,11.043908488630269,-5.339381345910733,0.0051156801915019645
0,baselines,constrained,region_holdout,europe_n_central_asia,RandomForest,6.007674162934842,4.628621988390398,0.37467145238225497,0.07916092762598922
0,baselines,constrained,region_holdout,europe_n_central_asia,XGBoost,6.614969150835214,5.312802440296519,0.24185694281339898,0.04908974703338348
0,baselines,constrained,region_holdout,europe_n_central_asia,MLP,20065280.017633572,5360230.511577512,-6975670616829.95,0.3579965505727193
0,baselines,constrained,region_holdout,north_america,Ridge,8.481796024148476,5.646097209935446,-0.5327076205312327,0.0005410788132173353
0,baselines,constrained,region_holdout,north_america,RandomForest,6.651808556428792,4.804194252873561,0.05732247810401492,0.09404272062599918
0,baselines,constrained,region_holdout,north_america,XGBoost,6.5772469199917065,4.862221207892758,0.07833740760379071,0.09252998117604556
0,baselines,constrained,region_holdout,north_america,MLP,154774090.25916088,27442717.079339724,-510364183276932.1,0.00221196402995705
0,baselines,constrained,size_holdout,Large-Cap,Ridge,160.4615259963248,43.5530202809286,-652.0817349568074,0.0006393035590596906
0,baselines,constrained,size_holdout,Large-Cap,RandomForest,5.771707410034506,4.395650297366567,0.15504356931308838,0.17385781681855778
0,baselines,constrained,size_holdout,Large-Cap,XGBoost,5.288073704731055,4.0598371361904455,0.2907151214764838,0.19096885730814517
0,baselines,constrained,size_holdout,Large-Cap,MLP,85352684.43703182,21138253.73395357,-184782173479281.62,0.019134128511723403
0,baselines,constrained,size_holdout,Mid-Cap,Ridge,7.409478759582805,5.879715891665637,0.08796936286120671,3.895797713020577e-05
0,baselines,constrained,size_holdout,Mid-Cap,RandomForest,6.890514434463259,5.252576356065061,0.2112535703901549,0.07076750528755313
0,baselines,constrained,size_holdout,Mid-Cap,XGBoost,7.180998264334611,5.644303045390565,0.14334933528951221,0.052354842862371
0,baselines,constrained,size_holdout,Mid-Cap,MLP,26450717.10850843,5045631.558373067,-11622753151075.783,0.0028456015547529295
0,diversified,max_balanced,within_sample,within_sample,Ridge,6.406642995412925,4.896209222757437,0.46200974032662756,0.0010712752891281468
